accession_id,replicate_id,Trichome perimeter,Metals in stomata,Metal ring in trichomes,Trichome length,Leaf epidermis autofluorescence,Trichome autofluorescence,Trichome stem length,Metal surrounding trichomes,Number of trichome branches,Metal gradient in trichomes,Shaveproof trichomes,Autofluorescence color,Trichome circularity,Trichome area,Metal in trichome base,Callose content in trichomes,Trichome solidity,Trichome density
6115,82364,2329.56,0.0,1.0,3785.772,0.0,2.0,0.24,0.0,2.5,0.0,0.0,0.0,0.04724,19910.37,2.0,12.842,0.23224,3.0
6118,82365,2514.803,0.0,2.0,5244.062,2.0,1.0,0.24,0.0,3.0,1.0,0.0,0.0,0.07064,33971.37,1.0,2.199,0.34144,4.0
6119,82366,1971.688,0.0,2.0,3738.77,2.0,2.0,0.3,0.0,2.0,1.0,0.0,0.0,0.08116,25012.6,0.0,20.251,0.2918,3.0
6122,82367,2333.871,0.0,2.0,3728.814,4.0,2.0,0.21,0.0,3.0,1.0,0.0,0.0,0.06876,29260.44,2.0,11.945,0.28464,3.0
6123,82368,2616.324,0.0,1.0,4799.047,0.0,0.5,0.28,2.0,3.0,0.0,0.0,0.0,0.0775,37978.52,2.0,15.628,0.33464,2.5
6124,82369,1712.583,0.0,2.0,2057.697,2.0,2.0,0.27,0.0,2.0,0.0,1.0,0.0,0.09976,21541.25,1.0,32.614,0.29656,3.0
6125,82370,1978.017,0.0,1.0,3445.157,2.0,1.0,0.24,0.0,3.0,0.0,0.0,0.0,0.07556,22070.47,1.0,0.632,0.31144,3.0
6128,82371,2337.102,0.0,1.0,3863.414,2.0,1.0,0.29,0.0,3.0,0.0,0.0,0.0,0.07344,31494.53,1.0,15.595,0.30652,3.0
6131,82372,2949.615,0.0,1.0,5464.171,0.0,2.0,0.35,0.0,3.0,0.0,0.0,0.0,0.0572,37982.58,1.0,8.522,0.28008,2.5
6132,82373,2163.817,0.0,2.0,3167.916,0.0,3.0,0.28,0.0,2.5,2.0,0.0,0.0,0.06684,24781.87,2.0,6.775,0.25272,3.0
6133,82374,1928.66,0.0,2.0,2248.404,2.0,3.0,0.27,0.0,3.0,1.0,0.0,1.0,0.06372,18136.02,0.0,21.62,0.23804,3.0
6134,82375,1830.55,0.0,1.0,2442.783,0.0,2.0,0.27,0.0,2.5,2.0,0.0,0.0,0.07468,18459.47,2.0,6.411,0.28268,2.5
6136,82376,2530.592,0.0,2.0,4664.215,2.0,3.0,0.29,0.0,3.0,1.0,0.0,0.0,0.056,28002.6,0.0,7.659,0.28816,3.0
6137,82377,2165.399,0.0,0.0,3518.83,2.0,2.0,0.29,0.0,2.5,0.0,0.0,0.0,0.06716,24935.84,0.0,1.047,0.28484,3.0
6138,82378,2018.759,0.0,0.0,3077.712,2.0,3.0,0.26,0.0,3.0,0.0,0.0,0.0,0.066,21805.05,0.0,4.554,0.25192,3.0
6140,82379,1978.427,0.0,0.0,3213.856,2.0,2.0,0.23,0.0,2.5,0.0,0.0,0.0,0.08816,25617.88,0.0,3.349,0.3344,4.0
6141,82380,2829.282,0.0,0.0,4577.785,2.0,2.0,0.28,0.0,3.0,0.0,0.0,0.0,0.06564,39891.25,0.0,14.678,0.29636,2.0
6142,82381,1714.569,0.0,2.0,1807.438,2.0,3.0,0.28,0.0,3.0,2.0,0.0,0.0,0.08139,19299.86,1.0,37.865,0.32385,3.0
6145,82382,2036.094,0.0,2.0,3641.995,2.0,3.0,0.26,0.0,3.0,1.0,0.0,0.0,0.09056,23447.38,0.0,3.94,0.31736,2.5
6148,82383,2490.166,,,3748.499,2.0,2.0,0.27,,3.0,,0.0,0.0,0.06796,32447.07,,2.941,0.27592,2.5
6149,82384,2008.283,0.0,0.0,2245.534,0.0,2.0,0.28,0.0,2.0,0.0,1.0,0.0,0.06804,20357.97,1.0,21.393,0.20948,2.0
6150,82385,2398.494,0.0,1.0,4163.26,2.0,3.0,0.28,0.0,2.5,0.0,0.0,0.0,0.06692,29799.37,0.0,2.474,0.31516,3.0
6151,82386,2473.364,0.0,0.0,3390.224,0.0,2.0,0.23,0.0,3.0,0.0,0.0,0.0,0.05864,29443.9,2.0,2.229,0.25616,2.0
6154,82387,2483.672,1.0,0.0,3590.642,0.0,2.0,0.25,0.0,2.0,0.0,0.0,0.0,0.0592,28707.29,2.0,30.422,0.2314,3.0
