accession_id,replicate_id,root length day004,root length day005,root length day006,root length day007,root length day001,root length day002,root length day003,root length day007 minusZn,root length day006 minusZn,root length day004 minusZn,root length day002 minusZn,root length day001 minusZn,root length day003 minusZn,root length day005 minusZn
6978,25766,485.9451,671.4865556,794.8074,893.446125,120.3691667,247.947,330.4184,834.2841,735.9366,448.8225454545,187.5719090909,64.7438571429,304.2574166667,560.033
6979,25767,368.9612727,471.3806667,673.4988889,841.3975,69.799,163.2505,268.6062,736.570375,579.332,334.1517,140.9963,53.228,241.1658,455.6594444444
6980,25768,602.2374,742.6821111,895.7598889,955.5247143,146.437625,292.5324444,461.1173636,872.8000909091,756.1156,491.6658181818,254.4102727273,106.4097272727,377.9362,594.9561
6981,25769,475.9311667,634.4287778,801.0449091,929.0854545,115.3472727,239.06175,352.1600833,495.0024285714,447.68325,274.0538571429,166.3568,74.9036666667,210.2714285714,366.398375
6982,25770,730.3925,935.1965833,1138.553917,1310.770667,170.1798,361.8128889,547.148625,1058.838,875.6908,522.6322,224.9209166667,110.4677777778,365.3028181818,682.9656363636
6983,25771,593.2453,781.911,967.1951,1137.043333,97.27025,234.5337273,411.8192727,624.2852,553.3178888889,311.7211428571,131.4752857143,45.971,242.24475,405.1423333333
6984,25772,695.8385556,885.9636,1092.003636,1233.824429,167.9843636,351.4462727,524.265,983.5085833333,835.7440833333,513.068,229.9568333333,121.037375,372.354,663.0025833333
6985,25773,293.506875,471.9755,593.9024,724.3751429,78.748625,199.4773333,274.6753333,577.6475555556,519.295875,331.3904285714,157.673,75.8474,242.442375,385.5144444444
6988,25774,357.3225,428.31125,538.4861429,631.3266667,161.6216667,250.9558,275.8808571,426.388,566.5307142857,298.749125,190.609,60.228,301.918125,412.0255
6990,25775,501.9232,609.2266,742.6218,903.97075,120.5049091,243.4724444,374.2627778,739.5775,636.9236,424.8538,227.866,108.0451428571,317.2100909091,537.50375
6992,25776,421.8802,512.9194,628.484,558.1561429,122.3412,242.0776667,327.0905,788.36,646.8578,375.717,208.0421,110.26075,264.8441666667,492.18325
6994,25777,324.043875,348.8843333,411.6104,450.321375,88.8014,164.0952222,222.8871,421.3792857143,375.0693333333,231.90825,111.8958333333,93.385,175.4747142857,306.837
7000,25778,553.7534444,716.8105455,909.3204545,1032.956,157.1207778,294.1891,417.1662727,1058.9487142857,811.8042222222,540.937,263.8550909091,115.4993333333,390.9856363636,741.9458333333
7002,25779,467.48425,618.7662857,782.9174444,833.1318889,118.8865556,225.5951818,332.6158182,614.9593333333,518.4758888889,312.71,176.6921111111,92.4098,242.4415,409.9933
7004,25780,654.2287,858.61825,967.7085556,1114.894091,216.2406364,372.1626,518.8092727,1048.243375,716.1242222222,561.052625,324.6308181818,178.73025,444.2227777778,707.1985555556
7014,25781,208.8645,387.0155,469.5573333,547.5713333,62.45566667,125.5593333,181.872,564.5536666667,433.92875,283.1408333333,166.1687777778,85.593,199.7555714286,368.8258
7015,25782,613.3337143,726.6844,902.424375,1049.083167,143.057375,282.6731818,445.3473,806.115,690.765,466.1643333333,209.0308888889,92.4524,335.43575,551.96675
7026,25783,525.1728,617.7057143,774.8938889,880.917,87.84977778,235.5265556,363.393,710.7915,616.5005555556,393.4283333333,210.2895,122.7123333333,308.631,517.59425
7028,25784,538.5393333,569.08625,743.405,924.79,133.3206,276.904875,427.6942857,748.5717777778,658.483875,415.52825,199.897,87.5144,309.296,528.2938888889
7031,25785,430.3621111,533.2301667,775.6844444,903.077375,143.8058571,200.9071,309.605,974.1077142857,481.5166666667,473.4635,252.7521,126.2934444444,336.3580909091,589.366
7062,25786,446.9193,645.909625,785.8237273,937.1011,90.83528571,228.6019,321.8858,856.3249,742.9153333333,453.740375,174.1887,81.8358,305.0619,568.5282222222
7071,25787,352.9248571,434.3045,632.7708333,646.5738571,87.88683333,214.9906667,262.1891429,741.371625,667.9466666667,327.252375,199.0495,91.289375,296.607375,436.642375
7075,25788,318.969,371.6364,296.285,336.44,143.627,136.22675,170.5828,427.0908333333,349.2396666667,212.6535,76.00925,52.527,137.7048333333,311.4092
7081,25789,589.8842727,901.13525,1031.6585,1266.144167,151.4465,314.5939167,487.3628,1269.5293,818.615,654.9424,300.8546363636,126.4841111111,470.8281818182,843.0247
7092,25790,336.8526667,420.5598,553.1262857,681.888,61.0876,111.4305714,195.8478,731.306,599.0455714286,337.7448571429,162.195,73.5315,205.5234444444,435.504375
7094,25791,535.8335,714.9078333,877.6891429,1022.037,162.258,262.4531667,390.4842857,709.735,662.735,502.38,314.066,191.8765,393.823,561.936
7098,25792,491.1814,693.4455,1165.453,1018.708,195.9279,252.8645714,342.48625,1123.205,934.151,627.085,290.865,,423.948,764.955
7102,25793,560.4241818,725.3095,820.7594444,965.5264545,191.084125,346.3375556,462.7631111,1457.117,1150.95,546.735,357.522,185.569,519.978,925.257
7123,25794,454.707,558.675375,697.0441429,843.5482857,128.5091667,227.3244,324.3088333,911.955,743.334,405.7018571429,205.6687272727,113.638875,304.90175,570.8072
7126,25795,407.5117778,488.8625556,555.9,596.0228,127.601125,230.5195,338.690125,573.4997142857,485.3397142857,298.9402857143,135.604125,74.9208,220.6582222222,401.7712857143
7143,25796,588.075375,816.8975,1013.838375,1188.358714,147.504,294.59325,442.81,970.44225,806.6768,481.8296,240.7134444444,116.8611,356.2213333333,639.5675555556
7147,25797,566.2695,734.1372857,928.642,1081.683167,132.7447,288.7677143,452.6996667,1002.4488888889,902.4472857143,464.3103333333,223.7862222222,112.6382,375.4035714286,626.4615
7163,25798,436.3657143,637.9765,839.869,961.5551667,138.252,240.989,330.6688,860.8365,679.19775,470.5109,251.9528888889,130.1023333333,363.794125,608.8762
7164,25799,360.246,494.584,608.572375,668.931875,95.10966667,142.9930833,244.0943,449.1242222222,374.5525555556,227.0172,102.5058571429,46.692,147.4345,313.1643
