accession_id,replicate_id,Rosette diameter Mine,Leaf  S Mine (μg/g),Leaf Ca Mine (μg/g),Leaf Zn Mine (μg/g),Leaf K Mine (μg/g),Leaf B Mine (μg/g),Leaf Cu Mine (μg/g),Leaf Na Mine (μg/g),Leaf Fe Mine (μg/g),Leaf Mg Mine (μg/g),Leaf Mn Mine (μg/g),Estimated Soil Pb,Leaf Pb Mine (μg/g),Growth rate,Leaf P Mine (μg/g)
6977,71786,39.0,2063.7,21225.14,104.66,17739.16,46.74,,2043.98,118.41,2561.25,39.48,,5.325,0.6,3374.64
6979,71787,60.0,9163.01,44896.61,249.16,44211.59,,,6655.87,148.6,7104.38,82.91,,4.688,1.03,6631.68
6982,71788,60.0,2139.78,25258.83,129.31,25049.95,,,2035.17,110.79,3704.09,44.65,,3.953,0.97,3318.87
6988,71789,49.0,2244.28,16513.49,115.73,18588.12,20.73,5.12,1808.3,71.3,2282.98,36.17,1.039748422,2.189,0.6,2724.24
6990,71790,61.0,1989.58,23533.6,84.97,24000.38,33.22,,3171.63,66.09,2646.23,54.54,0.410140811,2.352,0.76,3171.84
6994,71791,60.0,3194.27,20568.25,94.0,24337.97,,,3127.21,77.63,2941.68,35.6,0.412938273,6.232,0.81,2507.85
7000,71792,36.0,1406.89,19890.47,102.62,20623.39,61.03,,2406.59,83.57,2626.96,40.12,0.225873346,4.654,0.62,4642.41
7002,71793,64.0,1504.07,22665.52,97.09,17880.4,,,2229.0,87.97,3093.48,56.34,0.483486366,2.988,0.84,3291.18
7004,71794,37.0,3082.98,35802.55,154.17,28548.49,,8.59,6148.15,215.02,5085.33,70.44,0.686117455,13.319,0.76,2761.59
7008,71795,50.0,1407.73,19605.55,102.91,18276.63,,,4377.57,155.86,2987.63,45.91,1.10179679,16.666,0.61,2838.43
7011,71796,46.0,4076.22,40223.58,223.65,30743.84,,,2972.84,432.73,5613.64,106.2,0.218229981,36.893,0.57,3685.76
7015,71797,58.0,6159.09,28961.03,145.97,40875.44,90.86,20.92,3425.51,198.56,4541.61,,,3.611,1.07,5844.01
7026,71798,43.0,2344.48,27719.04,127.81,13716.73,,13.88,5240.76,361.12,3352.1,58.66,1.788131001,25.728,0.86,4391.15
7031,71799,37.0,2025.91,27884.4,197.39,15851.04,,13.25,3996.26,2057.61,4280.91,69.82,0.219324888,86.04,0.39,2165.43
7034,71800,45.0,3095.21,97372.69,322.45,44129.45,,37.99,2058.03,377.59,4908.67,,,4.113,1.02,8333.42
